# id      xc(mm)      yc(mm)      r(mm)     z0(mm)    z1(mm)
   1     11.5000     11.5000      9.0000      0.0000     65.0000
   2     34.5000     11.5000      9.0000      0.0000     65.0000
   3     57.5000     11.5000      9.0000      0.0000     65.0000
   4     80.5000     11.5000      9.0000      0.0000     65.0000
   5     11.5000     34.5000      9.0000      0.0000     65.0000
   6     34.5000     34.5000      9.0000      0.0000     65.0000
   7     57.5000     34.5000      9.0000      0.0000     65.0000
   8     80.5000     34.5000      9.0000      0.0000     65.0000
   9     11.5000     57.5000      9.0000      0.0000     65.0000
  10     34.5000     57.5000      9.0000      0.0000     65.0000
  11     57.5000     57.5000      9.0000      0.0000     65.0000
  12     80.5000     57.5000      9.0000      0.0000     65.0000
  13     11.5000     80.5000      9.0000      0.0000     65.0000
  14     34.5000     80.5000      9.0000      0.0000     65.0000
  15     57.5000     80.5000      9.0000      0.0000     65.0000
  16     80.5000     80.5000      9.0000      0.0000     65.0000
