# xc            yc            r
   6.666667E-03   6.666667E-03   3.000000E-03
   6.666667E-03   2.000000E-02   3.000000E-03
   6.666667E-03   3.333333E-02   3.000000E-03
   6.666667E-03   4.666667E-02   3.000000E-03
   6.666667E-03   6.000000E-02   3.000000E-03
   6.666667E-03   7.333333E-02   3.000000E-03
   2.000000E-02   6.666667E-03   3.000000E-03
   2.000000E-02   2.000000E-02   3.000000E-03
   2.000000E-02   3.333333E-02   3.000000E-03
   2.000000E-02   4.666667E-02   3.000000E-03
   2.000000E-02   6.000000E-02   3.000000E-03
   2.000000E-02   7.333333E-02   3.000000E-03
   3.333333E-02   6.666667E-03   3.000000E-03
   3.333333E-02   2.000000E-02   3.000000E-03
   3.333333E-02   3.333333E-02   3.000000E-03
   3.333333E-02   4.666667E-02   3.000000E-03
   3.333333E-02   6.000000E-02   3.000000E-03
   3.333333E-02   7.333333E-02   3.000000E-03
   4.666667E-02   6.666667E-03   3.000000E-03
   4.666667E-02   2.000000E-02   3.000000E-03
   4.666667E-02   3.333333E-02   3.000000E-03
   4.666667E-02   4.666667E-02   3.000000E-03
   4.666667E-02   6.000000E-02   3.000000E-03
   4.666667E-02   7.333333E-02   3.000000E-03
   6.000000E-02   6.666667E-03   3.000000E-03
   6.000000E-02   2.000000E-02   3.000000E-03
   6.000000E-02   3.333333E-02   3.000000E-03
   6.000000E-02   4.666667E-02   3.000000E-03
   6.000000E-02   6.000000E-02   3.000000E-03
   6.000000E-02   7.333333E-02   3.000000E-03
   7.333333E-02   6.666667E-03   3.000000E-03
   7.333333E-02   2.000000E-02   3.000000E-03
   7.333333E-02   3.333333E-02   3.000000E-03
   7.333333E-02   4.666667E-02   3.000000E-03
   7.333333E-02   6.000000E-02   3.000000E-03
   7.333333E-02   7.333333E-02   3.000000E-03
