i,j,x,y,T,phase
1,1, 0.00521, 0.00521, 9.937926E-01,0
2,1, 0.01562, 0.00521, 9.814083E-01,0
3,1, 0.02604, 0.00521, 9.691145E-01,0
4,1, 0.03646, 0.00521, 9.569695E-01,0
5,1, 0.04688, 0.00521, 9.450281E-01,0
6,1, 0.05729, 0.00521, 9.333415E-01,0
7,1, 0.06771, 0.00521, 9.219567E-01,0
8,1, 0.07812, 0.00521, 9.109181E-01,0
9,1, 0.08854, 0.00521, 9.002700E-01,0
10,1, 0.09896, 0.00521, 8.900617E-01,0
11,1, 0.10938, 0.00521, 8.803570E-01,0
12,1, 0.11979, 0.00521, 8.712466E-01,0
13,1, 0.13021, 0.00521, 8.628693E-01,0
14,1, 0.14062, 0.00521, 8.554544E-01,0
15,1, 0.15104, 0.00521, 8.496088E-01,0
16,1, 0.16146, 0.00521, 8.455457E-01,0
17,1, 0.17188, 0.00521, 8.357673E-01,0
18,1, 0.18229, 0.00521, 8.243280E-01,0
19,1, 0.19271, 0.00521, 8.133726E-01,0
20,1, 0.20312, 0.00521, 8.031338E-01,0
21,1, 0.21354, 0.00521, 7.934816E-01,0
22,1, 0.22396, 0.00521, 7.842420E-01,0
23,1, 0.23438, 0.00521, 7.752598E-01,0
24,1, 0.24479, 0.00521, 7.664034E-01,0
25,1, 0.25521, 0.00521, 7.575548E-01,0
26,1, 0.26562, 0.00521, 7.485955E-01,0
27,1, 0.27604, 0.00521, 7.393895E-01,0
28,1, 0.28646, 0.00521, 7.297653E-01,0
29,1, 0.29688, 0.00521, 7.194959E-01,0
30,1, 0.30729, 0.00521, 7.082876E-01,0
31,1, 0.31771, 0.00521, 6.958297E-01,0
32,1, 0.32812, 0.00521, 6.822499E-01,0
33,1, 0.33854, 0.00521, 6.710922E-01,0
34,1, 0.34896, 0.00521, 6.694685E-01,0
35,1, 0.35938, 0.00521, 6.666594E-01,0
36,1, 0.36979, 0.00521, 6.621151E-01,0
37,1, 0.38021, 0.00521, 6.561891E-01,0
38,1, 0.39062, 0.00521, 6.492265E-01,0
39,1, 0.40104, 0.00521, 6.414657E-01,0
40,1, 0.41146, 0.00521, 6.330605E-01,0
41,1, 0.42188, 0.00521, 6.241098E-01,0
42,1, 0.43229, 0.00521, 6.146799E-01,0
43,1, 0.44271, 0.00521, 6.048189E-01,0
44,1, 0.45312, 0.00521, 5.945653E-01,0
45,1, 0.46354, 0.00521, 5.839534E-01,0
46,1, 0.47396, 0.00521, 5.730163E-01,0
47,1, 0.48438, 0.00521, 5.617873E-01,0
48,1, 0.49479, 0.00521, 5.503004E-01,0
49,1, 0.50521, 0.00521, 5.385900E-01,0
50,1, 0.51562, 0.00521, 5.266899E-01,0
51,1, 0.52604, 0.00521, 5.146329E-01,0
52,1, 0.53646, 0.00521, 5.024489E-01,0
53,1, 0.54688, 0.00521, 4.901642E-01,0
54,1, 0.55729, 0.00521, 4.778002E-01,0
55,1, 0.56771, 0.00521, 4.653729E-01,0
56,1, 0.57812, 0.00521, 4.528926E-01,0
57,1, 0.58854, 0.00521, 4.403647E-01,0
58,1, 0.59896, 0.00521, 4.277927E-01,0
59,1, 0.60938, 0.00521, 4.151845E-01,0
60,1, 0.61979, 0.00521, 4.025572E-01,0
61,1, 0.63021, 0.00521, 3.899020E-01,0
62,1, 0.64062, 0.00521, 3.767781E-01,0
63,1, 0.65104, 0.00521, 3.674311E-01,1
64,1, 0.66146, 0.00521, 3.592287E-01,0
65,1, 0.67188, 0.00521, 3.456917E-01,0
66,1, 0.68229, 0.00521, 3.329237E-01,0
67,1, 0.69271, 0.00521, 3.203875E-01,0
68,1, 0.70312, 0.00521, 3.079325E-01,0
69,1, 0.71354, 0.00521, 2.955153E-01,0
70,1, 0.72396, 0.00521, 2.831255E-01,0
71,1, 0.73438, 0.00521, 2.707638E-01,0
72,1, 0.74479, 0.00521, 2.584345E-01,0
73,1, 0.75521, 0.00521, 2.461431E-01,0
74,1, 0.76562, 0.00521, 2.338948E-01,0
75,1, 0.77604, 0.00521, 2.216935E-01,0
76,1, 0.78646, 0.00521, 2.095413E-01,0
77,1, 0.79688, 0.00521, 1.974358E-01,0
78,1, 0.80729, 0.00521, 1.853646E-01,0
79,1, 0.81771, 0.00521, 1.732893E-01,0
80,1, 0.82812, 0.00521, 1.610836E-01,0
81,1, 0.83854, 0.00521, 1.482713E-01,0
82,1, 0.84896, 0.00521, 1.404861E-01,1
83,1, 0.85938, 0.00521, 1.333204E-01,0
