Weld_Type,Filler,Zone,Avg_Hardness_HV0.5,StdDev_HV,Min_HV,Max_HV,n
X70-X70,E6018,Base Metal - X70,214.6,5.0,208,220,5
X70-X70,E6018,HAZ - X70,252.6,7.0,244,261,5
X70-X70,E6018,Weld Metal (E6018),196,5.7,189,203,5
S355-S355,E6018,Base Metal - S355,165.6,5.2,159,172,5
S355-S355,E6018,HAZ - S355,205.8,6.5,198,214,5
S355-S355,E6018,Weld Metal (E6018),186,5.7,179,193,5
X70-S355,E6018,Base Metal - X70,215,4.6,209,221,5
X70-S355,E6018,HAZ - X70 side,249.2,6.5,241,257,5
X70-S355,E6018,Weld Metal (E6018),192,5.7,185,199,5
X70-S355,E6018,HAZ - S355 side,202.4,6.2,195,210,5
X70-S355,E6018,Base Metal - S355,164,4.7,158,170,5
