Weld_Type,Filler,x_mm,R1_HV,R2_HV,R3_HV,Mean_HV,StdDev_HV,Zone
X70-X70,E6018,-8.0,216.4,217.3,220.7,218.1,2.3,Base Metal - X70
X70-X70,E6018,-7.9,219.3,209.8,206.9,212.0,6.5,Base Metal - X70
X70-X70,E6018,-7.8,221.0,212.9,217.8,217.2,4.1,Base Metal - X70
X70-X70,E6018,-7.7,217.3,200.1,222.4,213.3,11.7,Base Metal - X70
X70-X70,E6018,-7.6,218.5,212.8,225.3,218.9,6.3,Base Metal - X70
X70-X70,E6018,-7.5,217.0,212.3,214.6,214.6,2.4,Base Metal - X70
X70-X70,E6018,-7.4,217.6,201.5,227.3,215.5,13.0,Base Metal - X70
X70-X70,E6018,-7.3,212.9,214.7,218.0,215.2,2.6,Base Metal - X70
X70-X70,E6018,-7.2,215.2,215.4,212.0,214.2,1.9,Base Metal - X70
X70-X70,E6018,-7.1,221.5,218.0,215.9,218.5,2.8,Base Metal - X70
X70-X70,E6018,-7.0,212.4,217.3,208.5,212.7,4.4,Base Metal - X70
X70-X70,E6018,-6.9,214.0,221.2,217.3,217.5,3.6,Base Metal - X70
X70-X70,E6018,-6.8,212.7,214.5,220.5,215.9,4.1,Base Metal - X70
X70-X70,E6018,-6.7,209.0,210.3,214.8,211.4,3.0,Base Metal - X70
X70-X70,E6018,-6.6,220.1,220.0,220.9,220.3,0.5,Base Metal - X70
X70-X70,E6018,-6.5,214.8,226.8,220.5,220.7,6.0,Base Metal - X70
X70-X70,E6018,-6.4,213.4,219.6,213.6,215.5,3.5,Base Metal - X70
X70-X70,E6018,-6.3,222.1,223.5,213.0,219.5,5.7,Base Metal - X70
X70-X70,E6018,-6.2,223.8,225.1,210.6,219.8,8.0,Base Metal - X70
X70-X70,E6018,-6.1,226.6,216.0,213.7,218.8,6.9,Base Metal - X70
X70-X70,E6018,-6.0,220.2,216.5,221.0,219.2,2.4,Base Metal - X70
X70-X70,E6018,-5.9,225.0,217.0,225.9,222.6,4.9,Base Metal - X70
X70-X70,E6018,-5.8,217.3,207.3,222.4,215.7,7.7,Base Metal - X70
X70-X70,E6018,-5.7,217.4,203.1,215.2,211.9,7.7,Base Metal - X70
X70-X70,E6018,-5.6,214.8,218.8,227.0,220.2,6.2,Base Metal - X70
X70-X70,E6018,-5.5,219.6,226.0,215.1,220.2,5.5,Base Metal - X70
X70-X70,E6018,-5.4,208.1,210.5,208.5,209.0,1.3,Base Metal - X70
X70-X70,E6018,-5.3,221.2,226.4,226.2,224.6,2.9,Base Metal - X70
X70-X70,E6018,-5.2,216.7,226.1,215.7,219.5,5.7,Base Metal - X70
X70-X70,E6018,-5.1,226.2,223.4,212.2,220.6,7.4,Base Metal - X70
X70-X70,E6018,-5.0,215.9,220.7,219.5,218.7,2.5,Base Metal - X70
X70-X70,E6018,-4.9,227.7,230.7,229.3,229.2,1.5,HAZ - X70
X70-X70,E6018,-4.8,232.1,235.0,242.7,236.6,5.5,HAZ - X70
X70-X70,E6018,-4.7,247.5,260.6,237.4,248.5,11.6,HAZ - X70
X70-X70,E6018,-4.6,241.7,262.8,256.2,253.6,10.8,HAZ - X70
X70-X70,E6018,-4.5,249.2,253.7,249.7,250.9,2.5,HAZ - X70
X70-X70,E6018,-4.4,253.6,241.7,243.3,246.2,6.5,HAZ - X70
X70-X70,E6018,-4.3,222.9,226.7,240.9,230.2,9.5,HAZ - X70
