Weld_Type,Filler,Notch_Location,Test_Temp_C,S1_J,S2_J,S3_J,S4_J,S5_J,Mean_J,StdDev_J,COV_pct,Min_J,Max_J
X70-X70,E6018,Weld Metal (WM),20,86,79,92,84,89,86,4.9,5.8,79,92
X70-X70,E6018,Weld Metal (WM),-20,58,52,63,55,60,57.6,4.3,7.4,52,63
X70-X70,E6018,HAZ,20,112,105,120,108,115,112,5.9,5.2,105,120
X70-X70,E6018,HAZ,-20,78,70,85,74,80,77.4,5.7,7.4,70,85
X70-X70,E6018,Base Metal (BM),20,185,178,192,180,188,184.6,5.7,3.1,178,192
X70-X70,E6018,Base Metal (BM),-20,140,132,148,136,144,140,6.3,4.5,132,148
S355-S355,E6018,Weld Metal (WM),20,72,66,78,69,75,72,4.7,6.6,66,78
S355-S355,E6018,Weld Metal (WM),-20,46,40,52,43,49,46,4.7,10.3,40,52
S355-S355,E6018,HAZ,20,96,89,103,92,99,95.8,5.5,5.8,89,103
S355-S355,E6018,HAZ,-20,64,57,70,60,67,63.6,5.2,8.2,57,70
S355-S355,E6018,Base Metal (BM),20,128,120,135,124,131,127.6,5.9,4.6,120,135
S355-S355,E6018,Base Metal (BM),-20,90,83,97,86,93,89.8,5.5,6.2,83,97
X70-S355,E6018,Weld Metal (WM),20,78,71,85,74,81,77.8,5.5,7.1,71,85
X70-S355,E6018,Weld Metal (WM),-20,50,44,57,47,53,50.2,5.1,10.1,44,57
X70-S355,E6018,HAZ (X70 side),20,108,100,116,104,112,108,6.3,5.9,100,116
X70-S355,E6018,HAZ (X70 side),-20,72,65,79,68,75,71.8,5.5,7.7,65,79
X70-S355,E6018,HAZ (S355 side),20,92,85,99,88,95,91.8,5.5,6.0,85,99
X70-S355,E6018,HAZ (S355 side),-20,60,53,67,56,63,59.8,5.5,9.3,53,67
